date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2015-05-15 | 500
2018-12-25 | 0.5
2020-01-01 | 999
2009-01-01 | 1
2022-03-15 | 750.5
2013-07-20 | 250
2016-11-30 | 1001
2014-06-10 | 0
2017-02-28 | 100.25
2019-09-05 | 42
2021-12-31 | 888.88
2010-04-20 | 314.159
2023-08-08 | 500.5
2008-01-01 | 5
2024-02-29 | 1000
2011-13-01 | 10
2015-02-30 | 50
2012-06-15 | abc
2013-10-10 | 
2014-15-40
2016-08-08 | -500
