Nom;prix;imageUrl
Keyring 1 - Swiss flag cow edelweiss;1.90;/images/keyring/Keyring1.jpg
Keyring 2 - Heart swiss label;1.90;/images/keyring/Keyring2.jpg
Keyring 3 - Label edelweiss;1.90;/images/keyring/Keyring3.jpg
Keyring 4 - Heart cow edelweiss;1.90;/images/keyring/Keyring4.jpg
Keyring 5 - Heart cow edelweiss chained;1.90;/images/keyring/Keyring5.jpg
Keyring 6 - Cow edelweiss;1.90;/images/keyring/Keyring6.jpg
Keyring 7 - Cow edelweiss bottle opener;1.90;/images/keyring/Keyring7.jpg
Keyring 8 - Edelweiss swiss heart;1.90;/images/keyring/Keyring8.jpg
Keyring 9 - dice with label;1.90;/images/keyring/Keyring9.jpg
Keyring 10 - ringged dice;1.90;/images/keyring/Keyring10.jpg
Keyring 12 - I love switzerland hearted;1.90;/images/keyring/Keyring12.jpg
Keyring 13 - Swiss flag label;1.90;/images/keyring/Keyring13.jpg
Keyring 14 - Edelweiss chained Bell Availlible in gold. gold slimer. silver;1.90;/images/keyring/Keyring14.jpg
Keyring 15 - Swiss coat of arm chained;1.90;/images/keyring/Keyring15.jpg
Keyring 16 - Metallic plate swiss flag;1.90;/images/keyring/Keyring16.jpg
Keyring 17 - Swiss sneaker label;1.90;/images/keyring/Keyring17.jpg
Keyring 18 - Label silver heart swiss round;1.90;/images/keyring/Keyring18.jpg
Keyring 19 - label olympic;1.90;/images/keyring/Keyring19.jpg
Keyring 20 - Heart shaped swiss;1.90;/images/keyring/Keyring20.jpg
Keyring 21 - poya swiss knife;1.90;/images/keyring/Keyring21.jpg
Keyring 22 - mosaic heart;1.90;/images/keyring/Keyring22.jpg
Keyring 23 - Edelweiss pen red or black pen;1.90;/images/keyring/Keyring23.jpg
Keyring 24 - cow chocolate edelweiss label;1.90;/images/keyring/Keyring24.jpg
Keyring 25 - I love switzerland square flag;1.90;/images/keyring/Keyring25.jpg
Keyring 26 - Watch switzerland label;1.90;/images/keyring/Keyring26.jpg
Keyring 27 - gem crown I love swiss;1.90;/images/keyring/Keyring27.jpg
Keyring 28 - Bottle opener;1.90;/images/keyring/Keyring28.jpg
Keyring 29 - whistle;1.90;/images/keyring/Keyring29.jpg
Keyring 30 - I heart swiss dice;1.90;/images/keyring/Keyring30.jpg
Keyring 31 - Edelweiss spinner;1.90;/images/keyring/Keyring31.jpg
Keyring 32 - nail clippers;1.90;/images/keyring/Keyring32.jpg
Keyring 33 - Swiss Key;1.90;/images/keyring/Keyring33.jpg
Keyring 34 - white bear I love swiss;1.90;/images/keyring/Keyring34.jpg
Keyring 35 - brown bear I love bern;1.90;/images/keyring/Keyring35.jpg
Keyring 36 - cow heart edelweiss;1.90;/images/keyring/Keyring36.jpg
Keyring 37 - key swiss heart;1.90;/images/keyring/Keyring37.jpg
