Nom;prix;imageUrl
Magnet 1 - Genève water jet relief (horloge);1.70;/images/magnet/Magnet1.jpg
Magnet 2 - Genève water jet relief;1.70;/images/magnet/Magnet2.jpg
Magnet 3 - Genève boat relief;1.70;/images/magnet/Magnet3.jpg
Magnet 4 - Lake boat relief;1.70;/images/magnet/Magnet4.jpg
Magnet 5 - Saas Fee city snow relief;1.70;/images/magnet/Magnet5.jpg
Magnet 6 - Lausanne City relief;1.70;/images/magnet/Magnet6.jpg
Magnet 7 - Metallic bottle opener;;/images/magnet/Magnet7.jpg
Magnet 8 - Metallic bottle opener;;/images/magnet/Magnet8.jpg
Magnet 9 - Matterhorn Valais;1.70;/images/magnet/Magnet9.jpg
Magnet 10 - Matterhorn;1.70;/images/magnet/Magnet10.jpg
Magnet 11 - Matterhorn Switzerland;1.70;/images/magnet/Magnet11.jpg
Magnet 12 - Zermatt Matterhorn;1.70;/images/magnet/Magnet12.jpg
Magnet 13 - Cartoon cow;2.00;/images/magnet/Magnet13.jpg
Magnet 14 - Big bell;3.00;/images/magnet/Magnet14.jpg
Magnet 15 - Luzern Kapellbrücke;1.70;/images/magnet/Magnet15.jpg
Magnet 16 - Luzern Kapellbrücke;1.70;/images/magnet/Magnet16.jpg
Magnet 17 - Fidget Spinner cows;2.60;/images/magnet/Magnet17.jpg
Magnet 18 - Lausanne-Ouchy harbour;1.70;/images/magnet/Magnet18.jpg
Magnet 19 - Montreux Castle boat;1.70;/images/magnet/Magnet19.jpg
Magnet 20 - Montreux Chillon castle;1.70;/images/magnet/Magnet20.jpg
Magnet 21 - Vevey city;;/images/magnet/Magnet21.jpg
Magnet 22 - Montreux Chillon castle boat;1.70;/images/magnet/Magnet22.jpg
Magnet 25 - Gruyères Switzerland round;1.70;/images/magnet/Magnet25.jpg
Magnet 26 - Gruyères Street;1.70;/images/magnet/Magnet26.jpg
Magnet 27 - Grimentz town Valais;1.70;/images/magnet/Magnet27.jpg
Magnet 28 - Grimentz town flowers;1.70;/images/magnet/Magnet28.jpg
Magnet 29 - Rheinfall boat;1.70;/images/magnet/Magnet29.jpg
Magnet 30 - Crans-Montana landscape;1.70;/images/magnet/Magnet30.jpg
Magnet 32 - Crans-Montana under snow;1.70;/images/magnet/Magnet32.jpg
Magnet 33 - Davos cable car cabin;1.70;/images/magnet/Magnet33.jpg
Magnet 34 - Davos skiing;1.70;/images/magnet/Magnet34.jpg
Magnet 35 - St-Moritz cable car cabin;1.70;/images/magnet/Magnet35.jpg
Magnet 36 - St-Moritz skiing;1.70;/images/magnet/Magnet36.jpg
Magnet 37 - Morgins relief;1.70;/images/magnet/Magnet37.jpg
Magnet 38 - Cabin and cable car relief;1.70;/images/magnet/Magnet38.jpg
Magnet 39 - Cabin and cable car relief;1.70;/images/magnet/Magnet39.jpg
Magnet 40 - Dookie long legs black;1.70;/images/magnet/Magnet40.jpg
Magnet 42 - St-Bernard and puppies;1.70;/images/magnet/Magnet42.jpg
Magnet 45 - St-Bernard snowball 1;2.00;/images/magnet/Magnet45.jpg
Magnet 46 - St-Bernard snowball 2;2.00;/images/magnet/Magnet46.jpg
Magnet 47 - St-Bernard snowball 3;2.00;/images/magnet/Magnet47.jpg
Magnet 48 - Marmot on green grass;1.70;/images/magnet/Magnet48.jpg
Magnet 49 - cuckoo clock;4.00;/images/magnet/Magnet49.jpg
Magnet 51 - bottle-opener Dookie;2.00;/images/magnet/Magnet51.jpg
Magnet 52 - bottle-opener St-Bernard;2.00;/images/magnet/Magnet52.jpg
Magnet 53 - Swiss Chocolate Red;1.70;/images/magnet/Magnet53.jpg
Magnet 54 - Swiss Chocolate Purple;1.70;/images/magnet/Magnet54.jpg
Magnet 55 - Switzerland Raclette;1.70;/images/magnet/Magnet55.jpg
Magnet 56 - Swiss Fondue Caquelon;1.70;/images/magnet/Magnet56.jpg
Magnet 57 - Dookie eating fondue;1.70;/images/magnet/Magnet57.jpg
Magnet 58 - Switzerland Lugano;1.70;/images/magnet/Magnet58.jpg
Magnet 59 - Dookie head with flower;1.70;/images/magnet/Magnet59.jpg
Magnet 60 - bottle-opener dookie flower;2.00;/images/magnet/Magnet60.jpg
Magnet 61 - bottle-opener pint;2.00;/images/magnet/Magnet61.jpg
