Nom;prix;imageUrl
Soft Toy 88 - 15 cm Teddy bear;5.00;/images/softtoy/SoftToy88.jpg
Soft Toy 89 - 25 cm Teddy bear;7.00;/images/softtoy/SoftToy89.jpg
Soft Toy 90 - 15 cm Teddy bear;5.00;/images/softtoy/SoftToy90.jpg
Soft Toy 235 - 15 cm St-Bernard soft toy;6.00;/images/softtoy/SoftToy235.jpg
Soft Toy 236 - 20 cm St-Bernard soft toy MM;7.00;/images/softtoy/SoftToy236.jpg
Soft Toy 237 - 15 cm St-Bernard laying soft toy;6.00;/images/softtoy/SoftToy237.jpg
Soft Toy 238 - 20 cm St-Bernard laying soft toy;7.00;/images/softtoy/SoftToy238.jpg
Soft Toy 239 - 20 cm marmot soft toy;7.00;/images/softtoy/SoftToy239.jpg
Soft Toy 240 - 20 cm swiss collar teddy bear;6.00;/images/softtoy/SoftToy240.jpg
Soft Toy 283 - 8 cm plush bear keychain;2.50;/images/softtoy/SoftToy283.jpg
Soft Toy 236 - 15 cm plush bear;3.50;/images/softtoy/SoftToy236.jpg
